Representation,Feature_Selection,Top_K,Model,Accuracy,Precision,Recall,F1_score,ROC_AUC,Log_Loss,Training_Time
TF-IDF,Chi-square,20,Logistic Regression,0.796498526607731,0.7501437607820587,0.8953328757721345,0.8163329161451814,0.8981015918081321,0.40742747568017107,0.08931446075439453
TF-IDF,Chi-square,20,Random Forest,0.8186860807765644,0.9031074665515754,0.7180851063829787,0.8000382336073408,0.9196618895194043,0.5784801599908488,3.0206620693206787
TF-IDF,Chi-square,20,LinearSVC,0.7977119084763391,0.7507175660160735,0.8975634866163349,0.8175992497655518,0.9017081316478093,0.3889425957345528,0.2579183578491211
TF-IDF,Chi-square,40,Logistic Regression,0.812965851967412,0.769140510413611,0.8997940974605353,0.8293531551478729,0.9135877345552061,0.37657436047456416,0.12875938415527344
TF-IDF,Chi-square,40,Random Forest,0.844600450684694,0.93173550181896,0.7470830473575841,0.8292543567279307,0.9402240767741213,0.41506294055650145,3.872767448425293
TF-IDF,Chi-square,40,LinearSVC,0.8147859247703242,0.7706408564305617,0.901681537405628,0.831027121056377,0.9157739615624553,0.35694059555532387,0.2715449333190918
TF-IDF,Chi-square,100,Logistic Regression,0.843907089616918,0.8072638486189532,0.9076870281400137,0.8545351748647121,0.9373937732812306,0.32373076856213767,0.10399198532104492
TF-IDF,Chi-square,100,Random Forest,0.8639278904489512,0.8176663682482841,0.9402882635552505,0.8747007182761373,0.9486893696353254,0.39425247987367584,6.295042276382446
TF-IDF,Chi-square,100,LinearSVC,0.8466805338880222,0.8089511341147816,0.9118050789293068,0.8573041864967331,0.9421136051935999,0.29902872564000454,0.3814582824707031
TF-IDF,Chi-square,200,Logistic Regression,0.8545675160339747,0.83051927365403,0.894646533973919,0.8613910457624319,0.9440758545916987,0.3058186288647255,0.1106259822845459
TF-IDF,Chi-square,200,Random Forest,0.8710348413936557,0.8391684901531729,0.92124227865477,0.878292164240144,0.9450120770914494,0.42822698252553315,9.292734622955322
TF-IDF,Chi-square,200,LinearSVC,0.8581209915063269,0.8345840651444995,0.8968771448181194,0.8646100405260111,0.9484408862583794,0.282930630875912,0.522559642791748
TF-IDF,Chi-square,400,Logistic Regression,0.8628878488472872,0.8436387180317255,0.8943033630748113,0.868232550391471,0.9509169754804093,0.2851543418747369,0.20094776153564453
TF-IDF,Chi-square,400,Random Forest,0.8804818859421043,0.8649712879409351,0.9045984900480439,0.8843411892979954,0.9493231990739797,0.3728414322575541,13.313312768936157
TF-IDF,Chi-square,400,LinearSVC,0.8674813659213035,0.8497965825874695,0.8960192175703501,0.87229599933183,0.9555486707686909,0.2612761846659549,0.6876640319824219
TF-IDF,Chi-square,600,Logistic Regression,0.8686947477899116,0.8520816326530612,0.8955044612216884,0.8732535765079896,0.9547283961598515,0.27541585819520403,0.27474236488342285
TF-IDF,Chi-square,600,Random Forest,0.8841220315479286,0.873689465801298,0.9008236101578586,0.8870490833826138,0.9501832598711216,0.35599204356804987,14.814213514328003
TF-IDF,Chi-square,600,LinearSVC,0.8769284104697521,0.865142478462558,0.8960192175703501,0.8803101820633851,0.9593560947993082,0.25082100475530916,0.8542706966400146
TF-IDF,Chi-square,1000,Logistic Regression,0.8718148725949038,0.8603148301574151,0.8908716540837337,0.875326645873725,0.9574909218976689,0.2668214048325585,0.3063669204711914
TF-IDF,Chi-square,1000,Random Forest,0.8827353094123765,0.8818911076975593,0.8865820178448868,0.8842303414049799,0.9530222928864459,0.31404478884341025,18.654072999954224
TF-IDF,Chi-square,1000,LinearSVC,0.8775351014040562,0.8704480617553281,0.8900137268359644,0.8801221684907101,0.9614878111225835,0.2440930349152389,0.9388003349304199
TF-IDF,Chi-square,1500,Logistic Regression,0.8764950598023921,0.8706853005556491,0.8872683596431022,0.8788986147701199,0.9600007272097862,0.2606289132564124,0.38076353073120117
TF-IDF,Chi-square,1500,Random Forest,0.8843820419483446,0.8932446622331116,0.8757721345229924,0.8844221105527639,0.9553996528625021,0.3060430580675374,20.29081106185913
TF-IDF,Chi-square,1500,LinearSVC,0.8829086496793205,0.8806325454854617,0.8886410432395333,0.8846186693996071,0.9633598053722173,0.24020369550659046,1.125943899154663
TF-IDF,Mutual Information,20,Logistic Regression,0.7685907436297452,0.7454149829033261,0.8229238160603981,0.7822541184146142,0.8528066240998526,0.48118137095802294,0.11417603492736816
TF-IDF,Mutual Information,20,Random Forest,0.8155659559715722,0.7782791817087846,0.8877831159917638,0.8294325104200064,0.9014603243956647,0.5638470896091632,6.401734828948975
